time_ms,funding_rate
1688842800182,2.42315e-05
1688846400202,4.277e-05
1688850000194,3.40059e-05
1688853600098,1.87845e-05
1688857200131,2.84468e-05
1688860800175,3.44096e-05
1688864400029,3.90785e-05
1688868000208,4.20999e-05
1688871600325,3.09057e-05
1688875200132,2.86207e-05
1688878800284,2.33157e-05
1688882400181,1.84398e-05
1688886000311,2.44326e-05
1688889600428,2.72594e-05
1688893200075,1.67838e-05
1688896800181,2.23632e-05
1688900400071,1.4881e-05
1688904000009,1.81888e-05
1688907600050,2.44605e-05
1688911200004,2.61674e-05
1688914800035,5.22282e-05
1688918400002,4.74946e-05
1688922000143,3.34813e-05
1688925600102,2.08603e-05
1688929200072,2.45219e-05
1688932800026,2.3642e-05
1688936400109,2.10507e-05
1688940000067,2.50114e-05
1688943600060,2.9267e-05
1688947200201,1.86806e-05
1688950800738,5.48146e-05
1688954400176,4.19434e-05
1688958000024,3.56891e-05
1688961600141,2.82926e-05
1688965200145,2.95802e-05
1688968800272,3.05865e-05
1688972400121,2.71976e-05
1688976000115,2.2781e-05
1688979600159,3.36657e-05
1688983200337,3.15466e-05
1688986800149,3.02492e-05
1688990400080,2.45043e-05
1688994000104,2.35315e-05
1688997600166,3.06705e-05
1689001200123,4.88228e-05
1689004800086,3.95979e-05
1689008400122,3.3955e-05
1689012000019,3.37804e-05
1689015600018,4.26062e-05
1689019200363,6.29461e-05
1689022800116,9.39956e-05
1689026400091,8.25694e-05
1689030000162,6.39209e-05
1689033600165,2.08323e-05
1689037200251,2.88606e-05
1689040800224,2.94112e-05
1689044400153,3.07854e-05
1689048000177,2.82928e-05
1689051600158,2.21767e-05
1689055200085,1.82397e-05
1689058800170,3.76033e-05
1689062400468,4.30796e-05
1689066000029,2.64758e-05
1689069600042,2.43311e-05
1689073200154,2.30526e-05
1689076800145,2.4215e-05
1689080400081,3.17728e-05
1689084000036,3.78938e-05
1689087600058,3.55964e-05
1689091200049,5.28565e-05
1689094800198,4.06837e-05
1689098400052,3.65314e-05
1689102000192,1.9952e-05
1689105600053,2.09489e-05
1689109200008,2.5054e-05
1689112800008,2.48399e-05
1689116400012,3.96192e-05
1689120000140,3.44862e-05
1689123600416,3.83411e-05
1689127200058,2.30914e-05
1689130800196,3.95712e-05
1689134400126,3.48338e-05
1689138000446,3.1773e-05
1689141600069,2.02812e-05
1689145200005,3.76393e-05
1689148800133,4.62113e-05
1689152401669,2.04474e-05
1689156000111,-1.40404e-05
1689159600177,1.23149e-05
1689163200150,2.18458e-05
1689166800108,5.61262e-05
1689170400100,7.78302e-05
1689174000183,3.40361e-05
1689177600001,3.20585e-05
1689181200159,4.34053e-05
1689184805457,4.17253e-05
